CIK,Company Name,Form Type,Date Filed,Filename,local_path,SEC_url,SIC
1144118,NETPLEX SYSTEMS INC,S-1,2001-07-02,1144118_0000928385-01-501261.htm,./data/S-1/2001/QTR3/1144118_0000928385-01-501261,https://www.sec.gov/Archives/edgar/data/1144118/000092838501501261/0000928385-01-501261-index.htm,7372
1145424,POWER MEASUREMENT INC,S-1,2001-08-28,1145424_0000912057-01-530503.htm,./data/S-1/2001/QTR3/1145424_0000912057-01-530503,https://www.sec.gov/Archives/edgar/data/1145424/000091205701530503/0000912057-01-530503-index.htm,7372
1157522,ICON INCOME FUND NINE LLC,S-1,2001-08-15,1157522_0000950005-01-500460.htm,./data/S-1/2001/QTR3/1157522_0000950005-01-500460,https://www.sec.gov/Archives/edgar/data/1157522/000095000501500460/0000950005-01-500460-index.htm,7359
1157624,NASSDA CORP,S-1,2001-09-04,1157624_0001012870-01-501793.htm,./data/S-1/2001/QTR3/1157624_0001012870-01-501793,https://www.sec.gov/Archives/edgar/data/1157624/000101287001501793/0001012870-01-501793-index.htm,7372
847555,SAFLINK CORP,S-1,2001-08-29,847555_0001021408-01-506118.htm,./data/S-1/2001/QTR3/847555_0001021408-01-506118,https://www.sec.gov/Archives/edgar/data/847555/000102140801506118/0001021408-01-506118-index.htm,7370
855103,FAIRFIELD INN BY MARRIOTT LTD PARTNERSHIP,S-1,2001-09-24,855103_0000950136-01-501417.htm,./data/S-1/2001/QTR3/855103_0000950136-01-501417,https://www.sec.gov/Archives/edgar/data/855103/000095013601501417/0000950136-01-501417-index.htm,7011
886171,UNIVERSAL HOSPITAL SERVICES INC,S-1,2001-07-27,886171_0000950124-01-502430.htm,./data/S-1/2001/QTR3/886171_0000950124-01-502430,https://www.sec.gov/Archives/edgar/data/886171/000095012401502430/0000950124-01-502430-index.htm,7350
898777,INTERPOOL INC,S-1,2001-08-03,898777_0000899681-01-500195.htm,./data/S-1/2001/QTR3/898777_0000899681-01-500195,https://www.sec.gov/Archives/edgar/data/898777/000089968101500195/0000899681-01-500195-index.htm,7359
944480,GSE SYSTEMS INC,S-1,2001-09-14,944480_0000944480-01-500039.htm,./data/S-1/2001/QTR3/944480_0000944480-01-500039,https://www.sec.gov/Archives/edgar/data/944480/000094448001500039/0000944480-01-500039-index.htm,7372
1065857,EXCHANGE APPLICATIONS INC,S-1,2001-10-12,1065857_0001072613-01-500979.htm,./data/S-1/2001/QTR4/1065857_0001072613-01-500979,https://www.sec.gov/Archives/edgar/data/1065857/000107261301500979/0001072613-01-500979-index.htm,7373
1144256,INTRA ASIA ENTERTAINMENT CORP,S-1,2001-11-30,1144256_0000950148-01-502466.htm,./data/S-1/2001/QTR4/1144256_0000950148-01-502466,https://www.sec.gov/Archives/edgar/data/1144256/000095014801502466/0000950148-01-502466-index.htm,7990
1162264,ABIDON INC,S-1,2001-12-20,1162264_0000926236-01-500233.htm,./data/S-1/2001/QTR4/1162264_0000926236-01-500233,https://www.sec.gov/Archives/edgar/data/1162264/000092623601500233/0000926236-01-500233-index.htm,7389
1163842,ANTEON INTERNATIONAL CORP,S-1,2001-12-21,1163842_0000912057-01-544454.htm,./data/S-1/2001/QTR4/1163842_0000912057-01-544454,https://www.sec.gov/Archives/edgar/data/1163842/000091205701544454/0000912057-01-544454-index.htm,7373
1065280,NETFLIX COM INC,S-1,2002-03-06,1065280_0001012870-02-001044.htm,./data/S-1/2002/QTR1/1065280_0001012870-02-001044,https://www.sec.gov/Archives/edgar/data/1065280/000101287002001044/0001012870-02-001044-index.htm,7841
1095901,VERIDIAN CORP,S-1,2002-03-06,1095901_0000950133-02-000813.htm,./data/S-1/2002/QTR1/1095901_0000950133-02-000813,https://www.sec.gov/Archives/edgar/data/1095901/000095013302000813/0000950133-02-000813-index.htm,7373
1108507,PRINTCAFE SOFTWARE INC,S-1,2002-02-13,1108507_0000950152-02-000994.htm,./data/S-1/2002/QTR1/1108507_0000950152-02-000994,https://www.sec.gov/Archives/edgar/data/1108507/000095015202000994/0000950152-02-000994-index.htm,7389
1114084,INTERVIDEO INC,S-1,2002-01-11,1114084_0001012870-02-000108.htm,./data/S-1/2002/QTR1/1114084_0001012870-02-000108,https://www.sec.gov/Archives/edgar/data/1114084/000101287002000108/0001012870-02-000108-index.htm,7372
1134538,ACCENTURE LTD,S-1,2002-03-19,1134538_0000950130-02-001676.htm,./data/S-1/2002/QTR1/1134538_0000950130-02-001676,https://www.sec.gov/Archives/edgar/data/1134538/000095013002001676/0000950130-02-001676-index.htm,7389
1139650,ALTIRIS INC,S-1,2002-02-25,1139650_0001012870-02-000884.htm,./data/S-1/2002/QTR1/1139650_0001012870-02-000884,https://www.sec.gov/Archives/edgar/data/1139650/000101287002000884/0001012870-02-000884-index.htm,7372
1141103,CROSS COUNTRY INC,S-1,2002-02-27,1141103_0000912057-02-007763.htm,./data/S-1/2002/QTR1/1141103_0000912057-02-007763,https://www.sec.gov/Archives/edgar/data/1141103/000091205702007763/0000912057-02-007763-index.htm,7363
1158324,COGENT COMMUNICATIONS GROUP INC,S-1,2002-01-30,1158324_0000912057-02-003406.htm,./data/S-1/2002/QTR1/1158324_0000912057-02-003406,https://www.sec.gov/Archives/edgar/data/1158324/000091205702003406/0000912057-02-003406-index.htm,7389
1163958,MEDICAL STAFFING NETWORK HOLDINGS INC,S-1,2002-02-08,1163958_0000912057-02-004721.htm,./data/S-1/2002/QTR1/1163958_0000912057-02-004721,https://www.sec.gov/Archives/edgar/data/1163958/000091205702004721/0000912057-02-004721-index.htm,7363
1166388,VERINT SYSTEMS INC,S-1,2002-02-07,1166388_0000909518-02-000084.htm,./data/S-1/2002/QTR1/1166388_0000909518-02-000084,https://www.sec.gov/Archives/edgar/data/1166388/000090951802000084/0000909518-02-000084-index.htm,7373
1166775,AECOM MERGER CORP,S-1,2002-03-29,1166775_0000898430-02-001158.htm,./data/S-1/2002/QTR1/1166775_0000898430-02-001158,https://www.sec.gov/Archives/edgar/data/1166775/000089843002001158/0000898430-02-001158-index.htm,7361
1168463,ADVANTAGE PAYROLL SERVICES INC,S-1,2002-03-18,1168463_0000950131-02-000942.htm,./data/S-1/2002/QTR1/1168463_0000950131-02-000942,https://www.sec.gov/Archives/edgar/data/1168463/000095013102000942/0000950131-02-000942-index.htm,7389
1168696,REGAL ENTERTAINMENT GROUP,S-1,2002-03-11,1168696_0000912057-02-009296.htm,./data/S-1/2002/QTR1/1168696_0000912057-02-009296,https://www.sec.gov/Archives/edgar/data/1168696/000091205702009296/0000912057-02-009296-index.htm,7830
1169083,LEASE EQUITY APPRECIATION FUND I LP,S-1,2002-03-21,1169083_0000950116-02-000416.htm,./data/S-1/2002/QTR1/1169083_0000950116-02-000416,https://www.sec.gov/Archives/edgar/data/1169083/000095011602000416/0000950116-02-000416-index.htm,7350
1169445,COMPUTER PROGRAMS & SYSTEMS INC,S-1,2002-03-21,1169445_0000931763-02-000744.htm,./data/S-1/2002/QTR1/1169445_0000931763-02-000744,https://www.sec.gov/Archives/edgar/data/1169445/000093176302000744/0000931763-02-000744-index.htm,7371
906192,SRA INTERNATIONAL INC,S-1,2002-03-05,906192_0000928385-02-000655.htm,./data/S-1/2002/QTR1/906192_0000928385-02-000655,https://www.sec.gov/Archives/edgar/data/906192/000092838502000655/0000928385-02-000655-index.htm,7370
